Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Discus,3.25,3.08,,F12,M35,Female,BA,2/28/2003,8/18/2013,1K,,FieldF12M35FemaleDiscus,FieldDiscusF12,FieldDiscusF12M35Female
Field,Discus,4.13,3.92,,F12,M35,Male,BA,2/28/2003,8/18/2013,1.75K,,FieldF12M35MaleDiscus,FieldDiscusF12,FieldDiscusF12M35Male
Field,Discus,3.25,3.08,,F12,M50,Female,BA,2/28/2003,1/26/2016,.75K,,FieldF12M50FemaleDiscus,FieldDiscusF12,FieldDiscusF12M50Female
Field,Discus,4.13,3.92,,F12,M50,Male,BA,2/28/2003,1/26/2016,1.5K,,FieldF12M50MaleDiscus,FieldDiscusF12,FieldDiscusF12M50Male
Field,Discus,3.25,3.08,,F12,M60,Female,BA,2/28/2003,1/26/2016,.75K,,FieldF12M60FemaleDiscus,FieldDiscusF12,FieldDiscusF12M60Female
Field,Discus,4.13,3.92,,F12,M60,Male,BA,2/28/2003,1/26/2016,1K,,FieldF12M60MaleDiscus,FieldDiscusF12,FieldDiscusF12M60Male
Field,Discus,5.94,5.64,,F12,U11,Female,BA,6/15/2004,1/23/2014,.75K,,FieldF12U11FemaleDiscus,FieldDiscusF12,FieldDiscusF12U11Female
Field,Discus,7.01,6.66,,F12,U11,Male,BA,6/15/2004,1/23/2014,.75K,,FieldF12U11MaleDiscus,FieldDiscusF12,FieldDiscusF12U11Male
Field,Discus,6.48,6.15,,F12,U14,Female,BA,12/6/2011,1/23/2014,.75K,,FieldF12U14FemaleDiscus,FieldDiscusF12,FieldDiscusF12U14Female
Field,Discus,7.65,7.27,,F12,U14,Male,BA,12/6/2011,2/12/2018,.75K,,FieldF12U14MaleDiscus,FieldDiscusF12,FieldDiscusF12U14Male
Field,Discus,7.02,6.67,,F12,U17,Female,BA,6/15/2004,1/7/2019,1K,,FieldF12U17FemaleDiscus,FieldDiscusF12,FieldDiscusF12U17Female
Field,Discus,6.63,6.3,,F12,U17,Male,BA,12/6/2011,1/7/2019,1.5K,,FieldF12U17MaleDiscus,FieldDiscusF12,FieldDiscusF12U17Male
Field,Discus,8.1,7.7,,F12,U20,Female,BA,6/15/2004,1/23/2014,1K,,FieldF12U20FemaleDiscus,FieldDiscusF12,FieldDiscusF12U20Female
Field,Discus,7.65,7.27,,F12,U20,Male,BA,6/15/2004,11/26/2018,1.75K,,FieldF12U20MaleDiscus,FieldDiscusF12,FieldDiscusF12U20Male
Field,Discus,8.64,8.21,,F12,U23,Female,BA,6/15/2004,1/23/2014,1K,,FieldF12U23FemaleDiscus,FieldDiscusF12,FieldDiscusF12U23Female
Field,Discus,10.2,9.69,,F12,U23,Male,BA,6/15/2004,2/12/2018,2K,,FieldF12U23MaleDiscus,FieldDiscusF12,FieldDiscusF12U23Male
Field,Discus,3.54,3.36,,F13,Adults,Female,BA,2/28/2003,1/23/2012,1K,,FieldF13AdultsFemaleDiscus,FieldDiscusF13,FieldDiscusF13AdultsFemale
Field,Discus,4.72,4.48,,F13,Adults,Male,BA,2/28/2003,1/23/2012,2K,,FieldF13AdultsMaleDiscus,FieldDiscusF13,FieldDiscusF13AdultsMale
Field,Discus,3.25,3.08,,F13,M35,Female,BA,2/28/2003,8/18/2013,1K,,FieldF13M35FemaleDiscus,FieldDiscusF13,FieldDiscusF13M35Female
Field,Discus,4.13,3.92,,F13,M35,Male,BA,2/28/2003,8/18/2013,1.75K,,FieldF13M35MaleDiscus,FieldDiscusF13,FieldDiscusF13M35Male
Field,Discus,3.25,3.08,,F13,M50,Female,BA,2/28/2003,1/26/2016,.75K,,FieldF13M50FemaleDiscus,FieldDiscusF13,FieldDiscusF13M50Female
Field,Discus,4.13,3.92,,F13,M50,Male,BA,2/28/2003,1/26/2016,1.5K,,FieldF13M50MaleDiscus,FieldDiscusF13,FieldDiscusF13M50Male
Field,Discus,3.25,3.08,,F13,M60,Female,BA,2/28/2003,1/26/2016,.75K,,FieldF13M60FemaleDiscus,FieldDiscusF13,FieldDiscusF13M60Female
Field,Discus,4.13,3.92,,F13,M60,Male,BA,2/28/2003,1/26/2016,1K,,FieldF13M60MaleDiscus,FieldDiscusF13,FieldDiscusF13M60Male
Field,Discus,2.95,2.8,,F13,U11,Female,BA,6/15/2004,1/23/2014,.75K,,FieldF13U11FemaleDiscus,FieldDiscusF13,FieldDiscusF13U11Female
Field,Discus,3.65,3.47,,F13,U11,Male,BA,6/15/2004,1/23/2014,.75K,,FieldF13U11MaleDiscus,FieldDiscusF13,FieldDiscusF13U11Male
Field,Discus,3.93,3.73,,F13,U14,Female,BA,6/15/2004,1/23/2014,.75K,,FieldF13U14FemaleDiscus,FieldDiscusF13,FieldDiscusF13U14Female
Field,Discus,9.55,9.07,,F13,U14,Male,BA,6/15/2004,1/23/2014,.75K,,FieldF13U14MaleDiscus,FieldDiscusF13,FieldDiscusF13U14Male
Field,Discus,5.03,4.78,,F13,U17,Female,BA,12/6/2011,1/7/2019,1K,,FieldF13U17FemaleDiscus,FieldDiscusF13,FieldDiscusF13U17Female
Field,Discus,4.08,3.88,,F13,U17,Male,BA,12/6/2011,1/7/2019,1.5K,,FieldF13U17MaleDiscus,FieldDiscusF13,FieldDiscusF13U17Male
Field,Discus,6.54,6.21,,F13,U20,Female,BA,6/15/2004,1/23/2014,1K,,FieldF13U20FemaleDiscus,FieldDiscusF13,FieldDiscusF13U20Female
Field,Discus,3.3,3.14,,F13,U20,Male,BA,6/15/2004,11/26/2018,1.75K,,FieldF13U20MaleDiscus,FieldDiscusF13,FieldDiscusF13U20Male
