Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Event_Group,C_Event,ID
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,Adults,Female,WC,1/31/2012,2/3/2012,TrackT53AdultsFemale800 Meters,Track800 MetersT53,Track800 MetersT53AdultsFemale
Track,800 Meters,03:12.0,03:22.0,,T52,U23,Male,WC,,2/7/2016,TrackT52U23Male800 Meters,Track800 MetersT52,Track800 MetersT52U23Male
Track,800 Meters,03:50.0,04:02.0,,T52,U23,Female,WC,,2/7/2016,TrackT52U23Female800 Meters,Track800 MetersT52,Track800 MetersT52U23Female
Track,800 Meters,03:32.0,03:42.0,,T52,U20,Male,WC,,2/7/2016,TrackT52U20Male800 Meters,Track800 MetersT52,Track800 MetersT52U20Male
Track,800 Meters,04:13.0,04:26.0,,T52,U20,Female,WC,,2/7/2016,TrackT52U20Female800 Meters,Track800 MetersT52,Track800 MetersT52U20Female
Track,800 Meters,04:10.0,04:23.0,,T52,U17,Male,WC,,11/25/2018,TrackT52U17Male800 Meters,Track800 MetersT52,Track800 MetersT52U17Male
Track,800 Meters,04:59.0,05:14.0,,T52,U17,Female,WC,,2/7/2016,TrackT52U17Female800 Meters,Track800 MetersT52,Track800 MetersT52U17Female
Track,800 Meters,04:29.0,04:43.0,,T52,U14,Male,WC,,2/7/2016,TrackT52U14Male800 Meters,Track800 MetersT52,Track800 MetersT52U14Male
Track,800 Meters,05:22.0,05:38.0,,T52,U14,Female,WC,,2/7/2016,TrackT52U14Female800 Meters,Track800 MetersT52,Track800 MetersT52U14Female
Track,800 Meters,00:00.0,00:00.0,No Race,T52,U11,Male,WC,,2/7/2016,TrackT52U11Male800 Meters,Track800 MetersT52,Track800 MetersT52U11Male
Track,800 Meters,00:00.0,00:00.0,No Race,T52,U11,Female,WC,,2/7/2016,TrackT52U11Female800 Meters,Track800 MetersT52,Track800 MetersT52U11Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,M60,Male,WC,1/27/2014,1/27/2014,TrackT52M60Male800 Meters,Track800 MetersT52,Track800 MetersT52M60Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,M60,Female,WC,1/27/2014,1/27/2014,TrackT52M60Female800 Meters,Track800 MetersT52,Track800 MetersT52M60Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,M50,Male,WC,1/27/2014,1/27/2014,TrackT52M50Male800 Meters,Track800 MetersT52,Track800 MetersT52M50Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,M50,Female,WC,1/27/2014,1/27/2014,TrackT52M50Female800 Meters,Track800 MetersT52,Track800 MetersT52M50Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,M35,Male,WC,1/27/2014,1/27/2014,TrackT52M35Male800 Meters,Track800 MetersT52,Track800 MetersT52M35Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,M35,Female,WC,1/27/2014,1/27/2014,TrackT52M35Female800 Meters,Track800 MetersT52,Track800 MetersT52M35Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T52,Adults,Male,WC,1/31/2012,2/3/2012,TrackT52AdultsMale800 Meters,Track800 MetersT52,Track800 MetersT52AdultsMale
